Rk,G,1985 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
122,1,1996-04-26,EC1,CHI,,MIA,1,W (+17),1,38:00:00,13,22,0.591,0,1,0,9,12,0.75,2,2,4,2,1,1,4,5,35,22.7
123,2,1996-04-28,EC1,CHI,,MIA,2,W (+31),1,32:00:00,9,17,0.529,2,3,0.667,9,12,0.75,0,4,4,4,1,0,0,0,29,24.5
124,3,1996-05-01,EC1,CHI,@,MIA,3,W (+21),1,33:00:00,10,23,0.435,3,6,0.5,3,3,1,1,2,3,2,3,0,0,0,26,19.6
125,4,1996-05-05,ECS,CHI,,NYK,1,W (+7),1,41:00:00,17,35,0.486,1,5,0.2,9,9,1,1,4,5,2,0,0,1,4,44,27
126,5,1996-05-07,ECS,CHI,,NYK,2,W (+11),1,40:00:00,11,25,0.44,1,3,0.333,5,5,1,3,2,5,5,3,0,2,0,28,22.1
127,6,1996-05-11,ECS,CHI,@,NYK,3,L (-3),1,51:00:00,17,35,0.486,2,5,0.4,10,13,0.769,3,1,4,2,2,0,4,2,46,28.1
128,7,1996-05-12,ECS,CHI,@,NYK,4,W (+3),1,40:00:00,7,23,0.304,2,7,0.286,11,13,0.846,2,6,8,8,2,1,0,5,27,22.4
129,8,1996-05-14,ECS,CHI,,NYK,5,W (+13),1,43:00:00,13,29,0.448,1,2,0.5,8,9,0.889,1,1,2,5,2,0,2,5,35,22
130,9,1996-05-19,ECF,CHI,,ORL,1,W (+38),1,37:00:00,9,17,0.529,1,2,0.5,2,3,0.667,2,5,7,4,2,0,3,3,21,15.8
131,10,1996-05-21,ECF,CHI,,ORL,2,W (+5),1,43:00:00,9,21,0.429,2,4,0.5,15,16,0.938,1,4,5,6,4,1,2,2,35,31.5
132,11,1996-05-25,ECF,CHI,@,ORL,3,W (+19),1,39:00:00,5,14,0.357,1,1,1,6,11,0.545,3,4,7,4,2,1,2,1,17,13.6
133,12,1996-05-27,ECF,CHI,@,ORL,4,W (+5),1,44:00:00,16,23,0.696,3,4,0.75,10,14,0.714,2,1,3,5,1,1,4,5,45,34.6
134,13,1996-06-05,FIN,CHI,,SEA,1,W (+17),1,41:00:00,9,18,0.5,1,4,0.25,9,10,0.9,0,7,7,2,2,1,2,4,28,21.2
135,14,1996-06-07,FIN,CHI,,SEA,2,W (+4),1,43:00:00,9,22,0.409,1,2,0.5,10,16,0.625,2,4,6,8,2,0,2,3,29,21.8
136,15,1996-06-09,FIN,CHI,@,SEA,3,W (+22),1,41:00:00,11,23,0.478,3,4,0.75,11,11,1,2,1,3,5,2,0,3,1,36,28.1
137,16,1996-06-12,FIN,CHI,@,SEA,4,L (-21),1,41:00:00,6,19,0.316,0,2,0,11,13,0.846,1,2,3,2,1,0,4,3,23,9.8
138,17,1996-06-14,FIN,CHI,@,SEA,5,L (-11),1,43:00:00,11,22,0.5,0,4,0,4,5,0.8,2,2,4,1,1,0,2,3,26,15.1
139,18,1996-06-16,FIN,CHI,,SEA,6,W (+12),1,43:00:00,5,19,0.263,1,3,0.333,11,12,0.917,3,6,9,7,2,0,5,3,22,14.9
140,1,1997-04-25,EC1,CHI,,WSB,1,W (+12),1,42:00:00,12,25,0.48,0,1,0,5,5,1,0,8,8,8,2,0,3,5,29,21.3
141,2,1997-04-27,EC1,CHI,,WSB,2,W (+5),1,44:00:00,22,35,0.629,1,2,0.5,10,10,1,3,4,7,2,2,0,2,3,55,42.8
142,3,1997-04-30,EC1,CHI,@,WSB,3,W (+1),1,43:00:00,14,24,0.583,0,5,0,0,0,,1,1,2,6,0,1,2,2,28,19.9
143,4,1997-05-06,ECS,CHI,,ATL,1,W (+3),1,44:00:00,13,25,0.52,1,3,0.333,7,10,0.7,3,8,11,6,4,3,3,3,34,31.1
144,5,1997-05-08,ECS,CHI,,ATL,2,L (-8),1,44:00:00,12,29,0.414,0,6,0,3,3,1,6,10,16,6,0,1,1,2,27,21.8
145,6,1997-05-10,ECS,CHI,@,ATL,3,W (+20),1,39:00:00,8,20,0.4,0,1,0,5,5,1,3,6,9,3,2,2,5,3,21,13.4
146,7,1997-05-11,ECS,CHI,@,ATL,4,W (+9),1,43:00:00,12,22,0.545,0,2,0,3,5,0.6,2,6,8,4,2,1,5,1,27,18.9
147,8,1997-05-13,ECS,CHI,,ATL,5,W (+15),1,40:00:00,9,23,0.391,1,5,0.2,5,5,1,2,5,7,7,2,0,2,0,24,19.3
148,9,1997-05-20,ECF,CHI,,MIA,1,W (+7),1,42:00:00,15,31,0.484,0,2,0,7,10,0.7,3,6,9,3,1,1,2,3,37,24.6
149,10,1997-05-22,ECF,CHI,,MIA,2,W (+7),1,43:00:00,4,15,0.267,0,1,0,15,16,0.938,2,7,9,3,4,1,2,1,23,21.6
150,11,1997-05-24,ECF,CHI,@,MIA,3,W (+24),1,36:00:00,14,25,0.56,1,2,0.5,5,5,1,3,5,8,1,1,0,3,3,34,23.2
151,12,1997-05-26,ECF,CHI,@,MIA,4,L (-7),1,45:00:00,9,35,0.257,0,8,0,11,13,0.846,4,4,8,1,1,0,2,2,29,10.2
152,13,1997-05-28,ECF,CHI,,MIA,5,W (+13),1,43:00:00,11,31,0.355,1,4,0.25,5,6,0.833,1,5,6,5,2,2,4,4,28,13.8
153,14,1997-06-01,FIN,CHI,,UTA,1,W (+2),1,41:00:00,13,27,0.481,0,0,,5,7,0.714,1,3,4,8,0,1,0,3,31,23.2
154,15,1997-06-04,FIN,CHI,,UTA,2,W (+12),1,45:00:00,11,20,0.55,1,2,0.5,15,21,0.714,4,9,13,9,2,0,5,2,38,34
155,16,1997-06-06,FIN,CHI,@,UTA,3,L (-11),1,40:00:00,9,22,0.409,4,10,0.4,4,5,0.8,0,3,3,6,1,2,1,1,26,19.9
156,17,1997-06-08,FIN,CHI,@,UTA,4,L (-5),1,42:00:00,11,27,0.407,0,4,0,0,0,,1,3,4,4,0,0,3,3,22,7.7
157,18,1997-06-11,FIN,CHI,@,UTA,5,W (+2),1,44:00:00,13,27,0.481,2,5,0.4,10,12,0.833,2,5,7,5,3,1,3,3,38,29.4
158,19,1997-06-13,FIN,CHI,,UTA,6,W (+4),1,44:00:00,15,35,0.429,1,4,0.25,8,10,0.8,1,10,11,4,1,1,1,2,39,26.1
159,1,1998-04-24,EC1,CHI,,NJN,1,W (+3),1,47:00:00,11,27,0.407,0,2,0,17,23,0.739,0,7,7,3,1,1,3,1,39,24.6
160,2,1998-04-26,EC1,CHI,,NJN,2,W (+5),1,39:00:00,9,19,0.474,0,0,,14,17,0.824,1,3,4,2,1,1,5,2,32,20
161,3,1998-04-29,EC1,CHI,@,NJN,3,W (+15),1,44:00:00,16,22,0.727,2,2,1,4,5,0.8,2,2,4,3,2,1,2,2,38,32.6
162,4,1998-05-03,ECS,CHI,,CHH,1,W (+13),1,44:00:00,11,26,0.423,1,3,0.333,12,14,0.857,4,7,11,4,1,1,3,0,35,26.8
163,5,1998-05-06,ECS,CHI,,CHH,2,L (-2),1,40:00:00,10,21,0.476,0,3,0,2,3,0.667,1,4,5,6,0,0,0,2,22,16.2
